iter	Passed	Remaining
375	671	1113
376	671	1110
377	672	1106
378	673	1102
379	673	1099
380	674	1095
381	674	1091
382	675	1088
383	676	1084
384	676	1081
385	677	1077
386	678	1074
387	678	1070
388	679	1067
389	680	1063
390	680	1060
391	681	1056
392	683	1055
393	683	1051
394	684	1048
395	685	1045
396	686	1042
397	686	1038
398	687	1035
399	687	1031
400	688	1028
401	688	1024
402	689	1021
403	690	1018
404	690	1014
405	691	1011
406	691	1007
407	692	1004
408	692	1001
409	693	998
410	694	994
411	694	991
412	695	988
413	695	984
414	696	981
415	698	980
416	699	977
417	700	974
418	700	971
419	701	968
420	702	966
421	703	963
422	704	960
423	704	957
424	705	954
425	705	951
426	706	947
427	706	944
428	707	941
429	708	938
430	708	935
431	709	932
432	709	929
433	710	926
434	711	923
435	711	920
436	713	918
437	714	916
438	715	913
439	715	910
440	716	907
441	716	905
442	717	902
443	718	899
444	719	896
445	719	893
446	720	891
447	720	888
448	721	885
449	721	882
450	722	879
451	723	876
452	723	873
453	724	871
454	724	868
455	725	865
456	725	862
457	726	859
458	728	858
459	729	856
460	730	853
461	730	851
462	731	848
